,time_frame,ENDPOINT_N_INVOC_API_ts-travel-service:queryInfo,ENDPOINT_N_INVOC_API_ts-travel-service:getRouteByTripId,ENDPOINT_N_INVOC_API_ts-travel-service:getTrainTypeByTripId,ENDPOINT_N_INVOC_API_ts-config-service:retrieve,ENTRYPOINT_AVG_EXTIME_ts-consign-service:findByOrderId,ENTRYPOINT_N_INVOC_API_ts-consign-service:findByOrderId,ENTRYPOINT_AVG_EXTIME_ts-travel-plan-service:getByCheapest,ENTRYPOINT_N_INVOC_API_ts-travel-plan-service:getByCheapest,ENDPOINT_N_INVOC_API_ts-ticketinfo-service:queryForStationId,ENDPOINT_N_INVOC_API_ts-ticketinfo-service:queryForTravel,ENDPOINT_N_INVOC_API_ts-station-service:queryForStationId,ENDPOINT_N_INVOC_API_ts-station-service:queryForNameBatch,ENDPOINT_N_INVOC_API_ts-travel2-service:queryInfo,ENDPOINT_N_INVOC_API_ts-route-service:queryById,ENDPOINT_N_INVOC_API_ts-seat-service:getLeftTicketOfInterval,ENDPOINT_N_INVOC_API_ts-food-service:createFoodOrder,ENTRYPOINT_AVG_EXTIME_ts-order-service:queryOrdersForRefresh,ENTRYPOINT_N_INVOC_API_ts-order-service:queryOrdersForRefresh,ENDPOINT_N_INVOC_API_ts-user-service:getUserByUserId,ENDPOINT_N_INVOC_API_ts-route-plan-service:getCheapestRoutes,ENTRYPOINT_AVG_EXTIME_ts-inside-payment-service:pay,ENTRYPOINT_N_INVOC_API_ts-inside-payment-service:pay,ENDPOINT_N_INVOC_API_ts-travel-service:getTripAllDetailInfo,ENDPOINT_N_INVOC_API_ts-order-other-service:securityInfoCheck,ENTRYPOINT_AVG_EXTIME_ts-preserve-service:preserve,ENTRYPOINT_N_INVOC_API_ts-preserve-service:preserve,ENDPOINT_N_INVOC_API_ts-contacts-service:getContactsByContactsId,ENTRYPOINT_AVG_EXTIME_ts-contacts-service:findContactsByAccountId,ENTRYPOINT_N_INVOC_API_ts-contacts-service:findContactsByAccountId,ENDPOINT_N_INVOC_API_ts-food-map-service:getFoodStoresByStationIds,ENDPOINT_N_INVOC_API_ts-security-service:check,ENTRYPOINT_AVG_EXTIME_ts-consign-service:updateConsign,ENTRYPOINT_N_INVOC_API_ts-consign-service:updateConsign,ENDPOINT_N_INVOC_API_ts-consign-price-service:getPriceByWeightAndRegion,ENDPOINT_N_INVOC_API_ts-basic-service:queryForStationId,ENDPOINT_N_INVOC_API_ts-basic-service:queryForTravel,ENDPOINT_N_INVOC_API_ts-seat-service:create,ENDPOINT_N_INVOC_API_ts-order-service:createNewOrder,ENDPOINT_N_INVOC_API_ts-order-service:getTicketListByDateAndTripId,ENDPOINT_N_INVOC_API_ts-order-service:getOrderById,ENDPOINT_N_INVOC_API_ts-order-service:calculateSoldTicket,ENDPOINT_N_INVOC_API_ts-train-service:retrieve,ENDPOINT_N_INVOC_API_ts-price-service:query,ENTRYPOINT_AVG_EXTIME_ts-food-service:getAllFood,ENTRYPOINT_N_INVOC_API_ts-food-service:getAllFood,ENDPOINT_N_INVOC_API_ts-food-map-service:getTrainFoodOfTrip,ENTRYPOINT_AVG_EXTIME_ts-cancel-service:cancelTicket,ENTRYPOINT_N_INVOC_API_ts-cancel-service:cancelTicket,ENTRYPOINT_AVG_EXTIME_ts-auth-service:getToken,ENTRYPOINT_N_INVOC_API_ts-auth-service:getToken,ENDPOINT_N_INVOC_API_ts-order-service:securityInfoCheck,ENTRYPOINT_AVG_EXTIME_ts-assurance-service:getAllAssuranceType,ENTRYPOINT_N_INVOC_API_ts-assurance-service:getAllAssuranceType,ENTRYPOINT_AVG_EXTIME_ts-travel-service:queryInfo,ENTRYPOINT_N_INVOC_API_ts-travel-service:queryInfo,ENTRYPOINT_AVG_EXTIME_ts-order-service:POST,ENTRYPOINT_N_INVOC_API_ts-order-service:POST,ENDPOINT_N_INVOC_API_ts-order-service:GET
0,5702,2.0,6.0,3.0,9.0,10746.0,10746.0,279672.0,279672.0,22.0,2.0,6.0,2.0,2.0,22.0,7.0,2.0,175977.0,175977.0,2.0,2.0,7742.5,7742.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5701,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,241969.0,241969.0,1.0,4643.0,4643.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5703,0.0,6.0,6.0,6.0,6008.5,6008.5,0.0,0.0,13.0,1.0,19.0,3.0,0.0,10.0,5.0,1.0,183184.0,183184.0,1.0,0.0,8424.0,8424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18375.666666666668,18375.666666666668,3.0,9.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,5694,0.0,0.0,0.0,2.0,0.0,0.0,212794.0,212794.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5695,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,286738.0,286738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5696,0.0,0.0,0.0,3.0,0.0,0.0,49844.0,49844.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,5697,0.0,0.0,0.0,2.0,0.0,0.0,63852.0,63852.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,5698,0.0,0.0,0.0,1.0,0.0,0.0,57614.0,57614.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,245463.0,245463.0,2.0,10623.5,10623.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23394.666666666668,23394.666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,5699,0.0,0.0,0.0,3.0,0.0,0.0,489686.0,489686.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,244985.0,244985.0,2.0,4393.0,4393.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27356.5,27356.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,5700,0.0,0.0,0.0,11.0,0.0,0.0,182726.0,182726.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24299.0,24299.0,1.0,10111.0,10111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
